Batch Size,Seq Length,flashattn,flashinfer,Speedup
16,16384,350.74442625045776,353.9862670004368,0.9908419024911637
16,32768,687.1602032333612,688.8203322887421,0.9975898953942538
32,1,12.562219053506851,9.607523679733276,1.3075397440868555
32,2,12.623025104403496,9.40338708460331,1.3423913097304991
32,4,12.653926387429237,9.486395865678787,1.3339024184316812
32,8,12.689763680100441,9.344173595309258,1.3580402323080405
32,16,12.704059481620789,9.300075471401215,1.3660168157438304
32,32,12.943996116518974,9.525343775749207,1.3589006781543564
32,64,12.951027601957321,10.025054216384888,1.2918660909374675
32,128,12.807417660951614,11.125029996037483,1.1512254497752694
32,256,13.564620167016983,14.903871342539787,0.9101407181568852
32,512,29.526585713028908,31.8398792296648,0.9273460335716153
32,1024,51.15484818816185,53.209392353892326,0.9613875657127254
32,2048,93.5623049736023,95.30615992844105,0.9817025997464581
32,4096,177.30142921209335,179.89285290241241,0.9855946267541553
32,8192,345.7910194993019,347.3884053528309,0.9954017295081954
32,16384,683.7341841310263,681.5893575549126,1.0031468017396983
32,32768,1363.2442150264978,1351.8548756837845,1.008424971901627
64,1,13.63435760140419,15.746196731925009,0.8658825895246743
64,2,13.63077200949192,15.76865091919899,0.8644222057637085
64,4,13.703610748052597,15.844302251935003,0.8648920305959845
64,8,13.88457603752613,15.86371101438999,0.8752413621838809
64,16,13.908995315432549,15.918668359518051,0.8737536960568763
64,32,14.087222516536713,16.035540029406548,0.8785000374607317
64,64,14.549465849995613,16.823802143335342,0.86481436990504
64,128,17.01291650533676,20.746709778904915,0.8200296185101772
64,256,33.040307462215424,35.222843289375305,0.9380363530215569
64,512,54.136160761117935,57.54336714744568,0.940788894442042
64,1024,95.37926875054836,97.50466793775558,0.9782020775809009
64,2048,176.5811536461115,178.25990915298462,0.9905825403207605
64,4096,343.47835928201675,345.7312937825918,0.993483567900591
64,8192,676.9327167421579,674.2803286761045,1.0039336577877944
64,16384,1352.3565139621496,1335.6567453593016,1.0125030391684622
64,32768,2676.517106592655,2655.156711116433,1.008044871847598
128,1,24.047736078500748,28.693731874227524,0.8380832505129885
128,2,24.19562079012394,28.693778440356255,0.8432357850820407
128,4,24.35479313135147,28.583556413650513,0.8520560835362134
128,8,24.61319789290428,28.700949624180794,0.857574338661166
128,16,24.629198014736176,28.83843146264553,0.8540408325133224
128,32,25.22459253668785,29.477356001734734,0.8557277842423653
128,64,27.8299767524004,32.90558233857155,0.8457524460759479
128,128,35.26689484715462,43.97605545818806,0.8019567575970061
128,256,57.94107913970947,59.32471714913845,0.9766768713628992
128,512,98.5000841319561,99.19124655425549,0.9930320220149534
128,1024,177.84914001822472,180.94955012202263,0.9828658866423975
128,2048,341.66800789535046,341.21448174118996,1.0013291527131152
128,4096,662.8383323550224,661.5366693586111,1.0019676354413933
128,8192,1315.7436065375805,1300.989594310522,1.0113406074049942
128,16384,2628.3774618059397,2592.1963341534138,1.0139577111408662
128,32768,5229.913266375661,5160.1233426481485,1.0135248557240295
256,1,43.02705638110638,53.487904369831085,0.8044259143825241
256,2,43.15861500799656,53.43320779502392,0.8077114736131525
256,4,43.39567385613918,53.396644070744514,0.8127041429540932
256,8,44.26139406859875,53.55939269065857,0.8263983560126978
256,16,45.2678557485342,54.247668012976646,0.8344663910291154
256,32,49.05187524855137,57.25105293095112,0.8567855565505749
256,64,51.65313370525837,60.3166688233614,0.8563658224648585
256,128,60.2282490581274,72.85425439476967,0.8266950167628273
256,256,103.17523032426834,104.5842282474041,0.9865276251807047
256,512,181.90909177064896,179.7624584287405,1.0119414996917133
256,1024,338.0682598799467,333.9134342968464,1.012442822469391
256,2048,651.4318566769361,644.2413944751024,1.0111611303829555
256,4096,1276.594903320074,1259.4995461404324,1.013573134847113
256,8192,2549.338024109602,2508.4033142775297,1.0163190303565128
256,16384,5079.116029664874,4989.302149042487,1.0180012911504315
256,32768,10343.597270548344,9947.675606235862,1.0398004197145605
